Source,Year,Ex/Im,Value
Black Coal,2010,Export,8055.01
Black Coal,2011,Export,8516.063
Black Coal,2012,Export,9475.823
Black Coal,2013,Export,10577.519
Black Coal,2014,Export,11067.145
Black Coal,2015,Export,11001.103
Black Coal,2016,Export,10685.805
Black Coal,2017,Export,10760.604
Black Coal,2018,Export,11131.284
Black Coal,2019,Export,11061.749
Black Coal,2020,Export,10323.501
Black Coal,2010,Import,4.72
Black Coal,2011,Import,1.986
Black Coal,2012,Import,0.668
Black Coal,2013,Import,1.234
Black Coal,2014,Import,2.865
Black Coal,2015,Import,0.753
Black Coal,2016,Import,2.603
Black Coal,2017,Import,5.716
Black Coal,2018,Import,4.546
Black Coal,2019,Import,7.417
Black Coal,2020,Import,3.559
Coke,2010,Export,0
Coke,2011,Export,16.3
Coke,2012,Export,31.175
Coke,2013,Export,27.335
Coke,2014,Export,18.463
Coke,2015,Export,20.398
Coke,2016,Export,20.097
Coke,2017,Export,19.705
Coke,2018,Export,22.823
Coke,2019,Export,26.486
Coke,2020,Export,22.688
Coke,2010,Import,1.639
Coke,2011,Import,1.126
Coke,2012,Import,1.243
Coke,2013,Import,2.446
Coke,2014,Import,3.517
Coke,2015,Import,5.106
Coke,2016,Import,5.016
Coke,2017,Import,6.339
Coke,2018,Import,12.665
Coke,2019,Import,11.781
Coke,2020,Import,8.942
Crude Oil,2010,Export,725.969
Crude Oil,2011,Export,644.683
Crude Oil,2012,Export,583.172
Crude Oil,2013,Export,548.221
Crude Oil,2014,Export,560.635
Crude Oil,2015,Export,513.977
Crude Oil,2016,Export,473.743
Crude Oil,2017,Export,482.272
Crude Oil,2018,Export,545.351
Crude Oil,2019,Export,625.608
Crude Oil,2020,Export,593.033
Crude Oil,2010,Import,1229.652
Crude Oil,2011,Import,1141.839
Crude Oil,2012,Import,1142.417
Crude Oil,2013,Import,1071.127
Crude Oil,2014,Import,939.392
Crude Oil,2015,Import,763.948
Crude Oil,2016,Import,787.998
Crude Oil,2017,Import,866.523
Crude Oil,2018,Import,841.507
Crude Oil,2019,Import,695.653
Crude Oil,2020,Import,547.007
LPG,2010,Export,5.968
LPG,2011,Export,5.99
LPG,2012,Export,3.411
LPG,2013,Export,4.486
LPG,2014,Export,4.038
LPG,2015,Export,2.476
LPG,2016,Export,7.484
LPG,2017,Export,5.165
LPG,2018,Export,7.055
LPG,2019,Export,3.434
LPG,2020,Export,0.374
LPG,2010,Import,22.826
LPG,2011,Import,26.283
LPG,2012,Import,23.593
LPG,2013,Import,18.757
LPG,2014,Import,24.62
LPG,2015,Import,23.598
LPG,2016,Import,25.776
LPG,2017,Import,21.417
LPG,2018,Import,20.606
LPG,2019,Import,19.819
LPG,2020,Import,16.864
Automotive Gasoline,2010,Export,5.968
Automotive Gasoline,2011,Export,5.99
Automotive Gasoline,2012,Export,3.411
Automotive Gasoline,2013,Export,4.486
Automotive Gasoline,2014,Export,4.038
Automotive Gasoline,2015,Export,2.476
Automotive Gasoline,2016,Export,7.484
Automotive Gasoline,2017,Export,5.165
Automotive Gasoline,2018,Export,7.055
Automotive Gasoline,2019,Export,3.434
Automotive Gasoline,2020,Export,0.374
Automotive Gasoline,2010,Import,90.727
Automotive Gasoline,2011,Import,125.572
Automotive Gasoline,2012,Import,124.936
Automotive Gasoline,2013,Import,123.061
Automotive Gasoline,2014,Import,189.271
Automotive Gasoline,2015,Import,227.007
Automotive Gasoline,2016,Import,237.725
Automotive Gasoline,2017,Import,218.131
Automotive Gasoline,2018,Import,207.465
Automotive Gasoline,2019,Import,201.98
Automotive Gasoline,2020,Import,263.965
Fuel Oil,2010,Export,7.721
Fuel Oil,2011,Export,19.252
Fuel Oil,2012,Export,8.743
Fuel Oil,2013,Export,1.869
Fuel Oil,2014,Export,4.299
Fuel Oil,2015,Export,7.178
Fuel Oil,2016,Export,12.624
Fuel Oil,2017,Export,9.39
Fuel Oil,2018,Export,8.506
Fuel Oil,2019,Export,10.984
Fuel Oil,2020,Export,16.295
Fuel Oil,2010,Import,61.824
Fuel Oil,2011,Import,64.278
Fuel Oil,2012,Import,66.563
Fuel Oil,2013,Import,53.037
Fuel Oil,2014,Import,10.333
Fuel Oil,2015,Import,13.179
Fuel Oil,2016,Import,11.305
Fuel Oil,2017,Import,28.659
Fuel Oil,2018,Import,29.374
Fuel Oil,2019,Import,25.225
Fuel Oil,2020,Import,12.335
Other Petroleum Products,2010,Export,7.503
Other Petroleum Products,2011,Export,4.83
Other Petroleum Products,2012,Export,1.551
Other Petroleum Products,2013,Export,2.152
Other Petroleum Products,2014,Export,2.641
Other Petroleum Products,2015,Export,2.107
Other Petroleum Products,2016,Export,5.778
Other Petroleum Products,2017,Export,12.798
Other Petroleum Products,2018,Export,16.329
Other Petroleum Products,2019,Export,11.468
Other Petroleum Products,2020,Export,13.66
Other Petroleum Products,2010,Import,20.36
Other Petroleum Products,2011,Import,20.154
Other Petroleum Products,2012,Import,21.962
Other Petroleum Products,2013,Import,27.125
Other Petroleum Products,2014,Import,22.906
Other Petroleum Products,2015,Import,19.569
Other Petroleum Products,2016,Import,22.288
Other Petroleum Products,2017,Import,23.125
Other Petroleum Products,2018,Import,22.633
Other Petroleum Products,2019,Import,20.332
Other Petroleum Products,2020,Import,20.372
Natural Gas,2010,Export,1101.981
Natural Gas,2011,Export,1041.36
Natural Gas,2012,Export,1298.109
Natural Gas,2013,Export,1283.933
Natural Gas,2014,Export,1382.526
Natural Gas,2015,Export,2016.487
Natural Gas,2016,Export,2855.194
Natural Gas,2017,Export,3376.402
Natural Gas,2018,Export,4095.61
Natural Gas,2019,Export,4413.47
Natural Gas,2020,Export,4314.444
Natural Gas,2010,Import,221.397
Natural Gas,2011,Import,193.578
Natural Gas,2012,Import,232.685
Natural Gas,2013,Import,233.777
Natural Gas,2014,Import,207.684
Natural Gas,2015,Import,226.441
Natural Gas,2016,Import,206.519
Natural Gas,2017,Import,186.515
Natural Gas,2018,Import,201.98
Natural Gas,2019,Import,179.742
Natural Gas,2020,Import,207.573
Total,2010,Export,9984.231
Total,2011,Export,10322.683
Total,2012,Export,11487.754
Total,2013,Export,12528.099
Total,2014,Export,13112.358
Total,2015,Export,13630.041
Total,2016,Export,14138.321
Total,2017,Export,14747.054
Total,2018,Export,15922.633
Total,2019,Export,16310.772
Total,2020,Export,15420.56
Total,2010,Import,2104.528
Total,2011,Import,2134.527
Total,2012,Import,2263.952
Total,2013,Import,2239.119
Total,2014,Import,2192.733
Total,2015,Import,2213.06
Total,2016,Import,2281.548
Total,2017,Import,2420.16
Total,2018,Import,2408.091
Total,2019,Import,2242.838
Total,2020,Import,2113.943
