States,Fuel Type,Year,Value,PJ
New South Wales,Bagasse,2010,253.3,0.91188
New South Wales,Bagasse,2011,413.6,1.48896
New South Wales,Bagasse,2012,425.4,1.53144
New South Wales,Bagasse,2013,461.7,1.66212
New South Wales,Bagasse,2014,551.1,1.98396
New South Wales,Bagasse,2015,601.734,2.1662424
New South Wales,Bagasse,2016,696.468,2.5072848
New South Wales,Bagasse,2017,764.985,2.753946
New South Wales,Bagasse,2018,758.832,2.7317952
New South Wales,Bagasse,2019,716.2,2.57832
New South Wales,Bagasse,2020,686.098,2.4699528
New South Wales,Biogas,2010,360,1.296
New South Wales,Biogas,2011,408.7,1.47132
New South Wales,Biogas,2012,413.4,1.48824
New South Wales,Biogas,2013,420.6,1.51416
New South Wales,Biogas,2014,472.1,1.69956
New South Wales,Biogas,2015,444.606,1.6005816
New South Wales,Biogas,2016,406.21,1.462356
New South Wales,Biogas,2017,424.375,1.52775
New South Wales,Biogas,2018,418.791,1.5076476
New South Wales,Biogas,2019,387.435,1.394766
New South Wales,Biogas,2020,411.044,1.4797584
New South Wales,Wind,2010,530.1,1.90836
New South Wales,Wind,2011,697.6,2.51136
New South Wales,Wind,2012,832.6,2.99736
New South Wales,Wind,2013,899.2,3.23712
New South Wales,Wind,2014,1376,4.9536
New South Wales,Wind,2015,1898.787,6.8356332
New South Wales,Wind,2016,1872.027,6.7392972
New South Wales,Wind,2017,2431.628,8.7538608
New South Wales,Wind,2018,3739.737,13.4630532
New South Wales,Wind,2019,4574.26,16.467336
New South Wales,Wind,2020,4805.916,17.3012976
New South Wales,Hydro,2010,2474.878,8.9095608
New South Wales,Hydro,2011,2446.925,8.80893
New South Wales,Hydro,2012,3298.089,11.8731204
New South Wales,Hydro,2013,2721.109,9.7959924
New South Wales,Hydro,2014,1770.988,6.3755568
New South Wales,Hydro,2015,3170.201,11.4127236
New South Wales,Hydro,2016,3290.647,11.8463292
New South Wales,Hydro,2017,2915.519,10.4958684
New South Wales,Hydro,2018,2160.284,7.7770224
New South Wales,Hydro,2019,2110.053,7.5961908
New South Wales,Hydro,2020,2964.239,10.6712604
Victoria,Bagasse,2010,0,0
Victoria,Bagasse,2011,187.106,0.6735816
Victoria,Bagasse,2012,171.14,0.616104
Victoria,Bagasse,2013,188.787,0.6796332
Victoria,Bagasse,2014,251.976,0.9071136
Victoria,Bagasse,2015,235.392,0.8474112
Victoria,Bagasse,2016,263.355,0.948078
Victoria,Bagasse,2017,241.012,0.8676432
Victoria,Bagasse,2018,235.469,0.8476884
Victoria,Bagasse,2019,243.797,0.8776692
Victoria,Bagasse,2020,229.67,0.826812
Victoria,Biogas,2010,339.6,1.22256
Victoria,Biogas,2011,672.241,2.4200676
Victoria,Biogas,2012,673.96,2.426256
Victoria,Biogas,2013,698.103,2.5131708
Victoria,Biogas,2014,420.258,1.5129288
Victoria,Biogas,2015,512.312,1.8443232
Victoria,Biogas,2016,431.106,1.5519816
Victoria,Biogas,2017,460.192,1.6566912
Victoria,Biogas,2018,497.644,1.7915184
Victoria,Biogas,2019,535.728,1.9286208
Victoria,Biogas,2020,499.303,1.7974908
Victoria,Wind,2010,1434.4,5.16384
Victoria,Wind,2011,1416.2,5.09832
Victoria,Wind,2012,2005.1,7.21836
Victoria,Wind,2013,2771.9,9.97884
Victoria,Wind,2014,3067.8,11.04408
Victoria,Wind,2015,3341.83,12.030588
Victoria,Wind,2016,3560.851,12.8190636
Victoria,Wind,2017,4303.851,15.4938636
Victoria,Wind,2018,4863.699,17.5093164
Victoria,Wind,2019,5596.248,20.1464928
Victoria,Wind,2020,7080.623,25.4902428
Victoria,Hydro,2010,3910.622,14.0782392
Victoria,Hydro,2011,2393.275,8.61579
Victoria,Hydro,2012,3293.811,11.8577196
Victoria,Hydro,2013,2594.991,9.3419676
Victoria,Hydro,2014,2513.612,9.0490032
Victoria,Hydro,2015,3228.452,11.6224272
Victoria,Hydro,2016,3673.259,13.2237324
Victoria,Hydro,2017,2803.107,10.0911852
Victoria,Hydro,2018,2702.802,9.7300872
Victoria,Hydro,2019,2310.836,8.3190096
Victoria,Hydro,2020,2851.962,10.2670632
Queensland,Bagasse,2010,823.7,2.96532
Queensland,Bagasse,2011,1005.6,3.62016
Queensland,Bagasse,2012,1117.8,4.02408
Queensland,Bagasse,2013,1403,5.0508
Queensland,Bagasse,2014,1550.3,5.58108
Queensland,Bagasse,2015,1656.281,5.9626116
Queensland,Bagasse,2016,1291.767,4.6503612
Queensland,Bagasse,2017,1252.897,4.5104292
Queensland,Bagasse,2018,1157.937,4.1685732
Queensland,Bagasse,2019,1029.768,3.7071648
Queensland,Bagasse,2020,1076.402,3.8750472
