Year,State,Energy Consumption,Population Number
2010,New South Wales,1668,7586514
2010,Victoria,1455.7,5537817
2010,Queensland,1249.6,4476778
2010,Western Australia,980.4,1639614
2010,South Australia,342.8,2353409
2010,Tasmania,113.8,511483
2010,Northern Territory,99.8,231292
2011,New South Wales,1621.3,7680783
2011,Victoria,1464.4,5651091
2011,Queensland,1314.8,4568687
2011,Western Australia,982.2,1656725
2011,South Australia,307.7,2425507
2011,Tasmania,107,511724
2011,Northern Territory,98.2,235915
2012,New South Wales,1568.4,7787289
2012,Victoria,1429.3,5772669
2012,Queensland,1334.8,4652824
2012,Western Australia,1019.5,1671488
2012,South Australia,356.3,2486944
2012,Tasmania,112.3,512231
2012,Northern Territory,100.2,241722
2013,New South Wales,1526.5,7897152
2013,Victoria,1397.7,5894917
2013,Queensland,1338.9,4719653
2013,Western Australia,1066.6,1686945
2013,South Australia,337.1,2517608
2013,Tasmania,108,513621
2013,Northern Territory,99.1,242894
2014,New South Wales,1478.8,8011981
2014,Victoria,1394.4,6022322
2014,Queensland,1436.1,4777692
2014,Western Australia,1045.4,1700668
2014,South Australia,356.9,2540672
2014,Tasmania,104.9,515117
2014,Northern Territory,84,244692
2015,New South Wales,1524.3,8135962
2015,Victoria,1416.9,6173172
2015,Queensland,1464.6,4845152
2015,Western Australia,1123.9,1712843
2015,South Australia,316.4,2555978
2015,Tasmania,107.1,517514
2015,Northern Territory,83.9,245678
2016,New South Wales,1533,8267695
2016,Victoria,1388.1,6299798
2016,Queensland,1531.9,4928374
2016,Western Australia,1177,1729608
2016,South Australia,287.4,2587577
2016,Tasmania,107.5,528324
2016,Northern Territory,83.3,248161
2017,New South Wales,1564.7,8375720
2017,Victoria,1314.1,6418168
2017,Queensland,1547.8,5010502
2017,Western Australia,1209.9,1748010
2017,South Australia,334.6,2621052
2017,Tasmania,110.5,540112
2017,Northern Territory,90.2,248363
2018,New South Wales,1555.6,8475582
2018,Victoria,1279.5,6530852
2018,Queensland,1520.2,5094718
2018,Western Australia,1264.7,1770048
2018,South Australia,326.9,2663795
2018,Tasmania,108.2,552310
2018,Northern Territory,133,248153
2019,New South Wales,1477.8,8544949
2019,Victoria,1213.3,6606149
2019,Queensland,1478.7,5175003
2019,Western Australia,1268.1,1793547
2019,South Australia,319.5,2718400
2019,Tasmania,100.1,563507
2019,Northern Territory,146.5,248943
2020,New South Wales,1402.4,8547373
2020,Victoria,1136.2,6548040
2020,Queensland,1445.2,5217653
2020,Western Australia,1246.5,1803192
2020,South Australia,311.2,2749864
2020,Tasmania,103,567909
2020,Northern Territory,145.1,249200
