Year,State,Type,Value,PJ
2010,New South Wales,Renewable,4144.578,14.9204808
2010,New South Wales,Non-Renewable,65802.4,236.88864
2010,Victoria,Renewable,5890.122,21.2044392
2010,Victoria,Non-Renewable,52509,189.0324
2010,Queensland,Renewable,2314.7,8.33292
2010,Queensland,Non-Renewable,61872,222.7392
2010,Western Australia,Renewable,1029,3.7044
2010,Western Australia,Non-Renewable,30911.2,111.28032
2010,South Australia,Renewable,3155,11.358
2010,South Australia,Non-Renewable,11280.9,40.61124
2010,Tasmania,Renewable,1600.9,5.76324
2010,Tasmania,Non-Renewable,9976.5,35.9154
2010,Northern Territory,Renewable,3076.6,11.07576
2010,Northern Territory,Non-Renewable,14.3,0.05148
2011,New South Wales,Renewable,4624.525,16.64829
2011,New South Wales,Non-Renewable,64707.9,232.94844
2011,Victoria,Renewable,5047.522,18.1710792
2011,Victoria,Non-Renewable,53206.2,191.54232
2011,Queensland,Renewable,2636.5,9.4914
2011,Queensland,Non-Renewable,61042.4,219.75264
2011,Western Australia,Renewable,1735.8,6.24888
2011,Western Australia,Non-Renewable,30565.2,110.03472
2011,South Australia,Renewable,3599.628,12.9586608
2011,South Australia,Non-Renewable,9809,35.3124
2011,Tasmania,Renewable,1623.3,5.84388
2011,Tasmania,Non-Renewable,8994.6,32.38056
2011,Northern Territory,Renewable,3130.2,11.26872
2011,Northern Territory,Non-Renewable,17.4,0.06264
2012,New South Wales,Renewable,5827.089,20.9775204
2012,New South Wales,Non-Renewable,62158.2,223.76952
2012,Victoria,Renewable,6724.111,24.2067996
2012,Victoria,Non-Renewable,48576,174.8736
2012,Queensland,Renewable,3264.7,11.75292
2012,Queensland,Non-Renewable,59421.9,213.91884
2012,Western Australia,Renewable,2079.3,7.48548
2012,Western Australia,Non-Renewable,31822.8,114.56208
2012,South Australia,Renewable,3950.6,14.22216
2012,South Australia,Non-Renewable,9447.9,34.01244
2012,Tasmania,Renewable,1791.4,6.44904
2012,Tasmania,Non-Renewable,11330.2,40.78872
2012,Northern Territory,Renewable,3291,11.8476
2012,Northern Territory,Non-Renewable,23.4,0.08424
2013,New South Wales,Renewable,5478.142,19.7213112
2013,New South Wales,Non-Renewable,61518.495,221.466582
2013,Victoria,Renewable,6932.353,24.9564708
2013,Victoria,Non-Renewable,47362.8,170.50608
2013,Queensland,Renewable,3805.465,13.699674
2013,Queensland,Non-Renewable,56674.5,204.0282
2013,Western Australia,Renewable,2428.187,8.7414732
2013,Western Australia,Non-Renewable,34251.4,123.30504
2013,South Australia,Renewable,4916.465,17.699274
2013,South Australia,Non-Renewable,8203.5,29.5326
2013,Tasmania,Renewable,1004.7,3.61692
2013,Tasmania,Non-Renewable,12994.756,46.7811216
2013,Northern Territory,Renewable,3432.5,12.357
2013,Northern Territory,Non-Renewable,33.315,0.119934
2014,New South Wales,Renewable,5441.551,19.5895836
2014,New South Wales,Non-Renewable,57374.89,206.549604
2014,Victoria,Renewable,7137.543,25.6951548
2014,Victoria,Non-Renewable,50883.677,183.1812372
2014,Queensland,Renewable,4117.549,14.8231764
2014,Queensland,Non-Renewable,63999.5,230.3982
2014,Western Australia,Renewable,2622.215,9.439974
2014,Western Australia,Non-Renewable,35159.704,126.5749344
2014,South Australia,Renewable,5191.562,18.6896232
2014,South Australia,Non-Renewable,7834.749,28.2050964
2014,Tasmania,Renewable,149.942,0.5397912
2014,Tasmania,Non-Renewable,9480.946,34.1314056
2014,Northern Territory,Renewable,2952.7,10.62972
2014,Northern Territory,Non-Renewable,44.304,0.1594944
2015,New South Wales,Renewable,7976.784,28.7164224
2015,New South Wales,Non-Renewable,60252.593,216.9093348
2015,Victoria,Renewable,8385.587,30.1881132
2015,Victoria,Non-Renewable,48196.95,173.50902
2015,Queensland,Renewable,4355.282,15.6790152
2015,Queensland,Non-Renewable,63031.85,226.91466
2015,Western Australia,Renewable,2577.151,9.2777436
2015,Western Australia,Non-Renewable,36159.65,130.17474
2015,South Australia,Renewable,5396.55,19.42758
2015,South Australia,Non-Renewable,7685.867,27.6691212
2015,Tasmania,Renewable,948.283,3.4138188
2015,Tasmania,Non-Renewable,9396.045,33.825762
2015,Northern Territory,Renewable,3007.344,10.8264384
2015,Northern Territory,Non-Renewable,58.65,0.21114
2016,New South Wales,Renewable,8539.75,30.7431
2016,New South Wales,Non-Renewable,59619.497,214.6301892
2016,Victoria,Renewable,9174.093,33.0267348
2016,Victoria,Non-Renewable,46362.117,166.9036212
2016,Queensland,Renewable,4481.666,16.1339976
2016,Queensland,Non-Renewable,64495.156,232.1825616
2016,Western Australia,Renewable,2987.911,10.7564796
2016,Western Australia,Non-Renewable,37051.041,133.3837476
2016,South Australia,Renewable,5499.924,19.7997264
2016,South Australia,Non-Renewable,6211.32,22.360752
2016,Tasmania,Renewable,919.37,3.309732
2016,Tasmania,Non-Renewable,9683.9,34.86204
2016,Northern Territory,Renewable,2903.895,10.454022
2016,Northern Territory,Non-Renewable,87.332,0.3143952
2017,New South Wales,Renewable,9332.272,33.5961792
2017,New South Wales,Non-Renewable,60392.35,217.41246
